,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
375,Khani,75,GE,1555900200,93,41.96,42.96,41.0,4.7
376,Samarai,37,PG,1555902075,65,-10.62,150.67,86.24,4.68
377,Rawson,0,AR,1555902077,52,-43.3,-65.11,55.91,8.75
378,Port Blair,20,IN,1555902078,66,11.67,92.75,85.25,5.28
379,Pedasi,100,PA,1555902079,69,7.53,-80.03,79.85,5.1
380,Maryville,1,US,1555901616,8,40.35,-94.87,75.2,10.29
381,Muscle Shoals,20,US,1555902072,76,34.75,-87.67,62.01,3.49
382,Pokhara,45,NP,1555902082,39,28.21,83.99,57.17,3.87
383,Ulefoss,55,NO,1555902043,100,59.29,9.26,42.01,5.82
384,La Serena,0,CL,1555898400,87,-29.9,-71.25,53.6,2.24
385,Kapit,75,MY,1555902086,47,2.02,112.94,94.81,1.66
386,Redlands,20,US,1555902085,62,34.06,-117.19,64.4,11.41
387,Alexander City,1,US,1555902064,87,32.94,-85.95,61.0,0.89
388,Luganville,75,VU,1555898400,74,-15.51,167.18,86.0,2.24
389,Okato,100,NZ,1555901772,76,-39.19,173.88,62.01,1.01
390,Zhanakorgan,0,KZ,1555902091,58,43.91,67.25,47.84,4.81
391,Mapastepec,0,MX,1555902093,73,15.44,-92.9,78.16,4.05
392,Oskemen,75,KZ,1555900200,69,49.96,82.61,37.4,2.24
393,Tessalit,72,ML,1555902095,15,20.2,1.01,84.2,6.6
394,Auki,32,NG,1555902096,10,12.18,6.51,84.91,6.33
395,Yulara,0,AU,1555898400,34,-25.24,130.99,68.0,14.99
396,Dakar,40,SN,1555900200,88,14.69,-17.45,68.0,6.93
397,Pinheiro,99,BR,1555902100,99,-2.53,-45.09,74.56,1.21
398,Drezdenko,0,PL,1555902101,82,52.84,15.83,41.11,7.74
399,Williams Lake,75,CA,1555898400,28,52.13,-122.14,55.4,6.93
400,Payo,80,ID,1555902103,56,-3.75,103.64,84.01,3.87
401,Kieta,34,PG,1555902104,67,-6.22,155.63,86.2,5.75
402,Meulaboh,63,ID,1555902105,77,4.14,96.13,83.5,3.8
403,Aksu,75,KZ,1555900200,56,52.04,76.93,44.6,2.24
404,Belogorsk,48,UA,1555902108,91,45.06,34.59,35.64,4.05
405,Kuytun,62,RU,1555902109,37,54.34,101.51,33.62,15.93
406,Esfarayen,90,IR,1555898400,87,37.08,57.51,46.4,2.24
407,Octeville,0,FR,1555901942,76,49.63,-1.64,55.99,6.93
408,Salalah,20,OM,1555897800,74,17.01,54.1,80.6,2.24
409,Grindavik,0,IS,1555900200,100,63.84,-22.43,37.4,6.93
410,Manicore,100,BR,1555902115,97,-5.81,-61.3,74.57,2.08
411,Medvezhyegorsk,100,RU,1555902116,77,62.92,34.47,37.73,9.04
412,Qandala,48,SO,1555902117,66,11.47,49.87,83.9,4.68
413,Puerto Narino,40,CO,1555898400,100,-3.77,-70.38,78.8,2.24
414,Olinda,75,EC,1555902090,83,-2.03,-79.75,81.0,10.29
415,Ratnagiri,0,IN,1555902121,75,16.98,73.3,82.22,18.57
416,Yanam,75,IN,1555900200,69,16.73,82.22,82.4,3.36
417,Biharamulo,100,TZ,1555902124,95,-2.64,31.31,59.18,2.68
418,Kavaratti,40,IN,1555900200,70,10.57,72.64,86.0,6.93
419,Kondoa,98,TZ,1555902126,95,-4.91,35.78,63.61,4.0
420,Chany,30,RU,1555902127,43,55.31,76.76,42.16,6.06
421,Laives,0,FR,1555902069,93,46.65,4.85,55.99,2.24
422,Ambilobe,100,MG,1555902130,85,-13.19,49.05,73.71,4.21
423,Gombong,61,ID,1555902131,49,-7.19,109.31,91.4,3.06
424,Tigzirt,94,DZ,1555901623,78,36.57,4.2,54.0,1.99
425,Pouembout,6,NC,1555902133,75,-21.12,164.9,83.65,5.75
426,Maputo,33,MZ,1555902123,78,-25.97,32.57,69.48,10.76
427,Tocopilla,87,CL,1555902136,91,-22.09,-70.2,63.86,11.43
428,Warrnambool,96,AU,1555902130,63,-38.38,142.48,64.0,10.18
429,Yerbogachen,100,RU,1555902141,79,61.28,108.01,33.64,3.94
430,Kuopio,0,FI,1555899600,45,62.89,27.68,46.4,5.82
431,Morondava,0,MG,1555902143,63,-20.3,44.28,80.68,4.25
432,Severobaykalsk,100,RU,1555902145,91,55.65,109.32,20.88,16.58
433,New Philadelphia,1,US,1555902128,87,40.49,-81.45,50.0,4.7
434,Lata,0,IN,1555902147,84,30.78,78.62,34.11,1.86
435,Kalmunai,81,LK,1555902148,73,7.42,81.82,84.83,2.75
436,Cilegon,40,ID,1555901588,62,-6.02,106.05,89.6,14.99
437,Talara,62,PE,1555902150,86,-4.58,-81.27,73.62,13.31
438,Mangrol,20,IN,1555898400,27,25.33,76.51,86.0,2.24
439,Maloy,25,ID,1555902153,48,1.0,118.1,93.51,3.06
440,Jimenez,67,PA,1555902001,62,8.54,-82.37,59.0,5.99
441,Atambua,44,ID,1555902155,61,-9.11,124.89,85.54,5.93
442,Maceio,0,BR,1555902000,88,-9.67,-35.74,75.2,1.12
443,Trairi,33,BR,1555902157,98,-3.28,-39.27,72.99,2.71
444,Biltine,36,TD,1555902159,8,14.53,20.93,83.54,16.62
445,Klichka,100,RU,1555902160,20,50.44,118.0,45.43,15.59
446,Mitsamiouli,100,KM,1555902161,78,-11.38,43.28,84.06,15.64
447,Sibolga,100,ID,1555901945,75,1.74,98.78,83.38,0.2
448,Komsomolskiy,100,RU,1555902163,99,67.55,63.78,33.62,15.37
449,Cochabamba,50,BO,1555898400,55,-17.39,-66.16,64.4,9.13
450,Wanlaweyn,95,SO,1555902166,83,2.62,44.89,80.87,4.27
451,Belen,20,TR,1555897800,46,36.49,36.19,54.0,11.41
452,Orcopampa,86,PE,1555902168,91,-15.27,-72.34,37.6,3.96
453,Texarkana,1,US,1555902063,60,33.44,-94.04,69.8,8.05
454,Wokha,39,IN,1555902170,37,26.1,94.25,83.79,4.61
455,Ambon,64,FR,1555902151,100,47.55,-2.56,55.0,3.36
456,Sawtell,96,AU,1555901905,64,-30.38,153.1,77.0,6.93
457,Ust-Nera,88,RU,1555902174,79,64.57,143.24,29.52,4.76
458,Kuching,75,MY,1555900200,74,1.56,110.34,86.0,2.24
459,Henderson,1,US,1555902003,13,36.04,-114.98,77.0,9.17
460,San Policarpo,36,PH,1555902177,71,12.18,125.51,83.14,9.62
461,Shimoda,40,JP,1555901711,68,34.7,138.93,75.0,3.36
462,Laukaa,0,FI,1555901203,52,62.42,25.95,44.6,6.93
463,Iraucuba,32,BR,1555902181,98,-3.75,-39.78,71.96,1.92
464,Uray,28,RU,1555902182,88,60.13,64.8,35.66,5.48
465,Stephenville,1,US,1555901848,64,32.22,-98.2,75.2,11.41
466,Wajir,60,KE,1555902184,70,1.75,40.07,80.87,15.41
467,Portobelo,40,PA,1555902094,83,9.55,-79.65,82.0,10.29
468,Surgut,75,RU,1555900200,100,61.25,73.4,33.8,6.71
469,Limbazi,0,LV,1555902178,63,57.51,24.72,43.0,1.01
470,Ontario,20,US,1555902107,62,34.07,-117.65,64.99,11.41
471,Islamkot,0,PK,1555902190,42,24.7,70.18,85.68,10.76
472,Bud,97,NO,1555902028,58,62.91,6.91,55.4,12.75
473,Ocara,35,BR,1555901899,97,-4.49,-38.6,71.86,2.8
474,Waipawa,100,NZ,1555901717,87,-39.94,176.59,60.01,3.24
475,Crepaja,0,RS,1555900200,80,45.01,20.64,55.4,2.24
476,Kachiry,0,KZ,1555902196,51,53.07,76.1,42.73,3.83
477,Grand Gaube,75,MU,1555901943,94,-20.01,57.66,77.0,17.22
478,Northallerton,0,GB,1555902196,71,54.34,-1.43,51.01,5.82
479,Masunga,0,BW,1555902200,69,-20.62,27.45,64.04,9.08
480,Salinopolis,100,BR,1555902201,81,-0.61,-47.36,82.06,14.09
481,Tongliao,51,CN,1555902202,21,43.61,122.27,70.33,17.83
482,Yatou,100,CM,1555902203,77,3.63,9.81,83.72,8.08
483,San Jose,5,PH,1555902013,41,15.79,120.99,95.02,6.98
484,Cartagena,75,ES,1555902007,82,37.63,-1.0,55.4,12.75
485,Coromandel,100,NZ,1555902185,87,-36.76,175.5,64.0,5.82
486,Kiama,88,AU,1555902173,50,-34.67,150.86,77.0,5.82
487,Hamina,0,FI,1555902115,72,60.57,27.2,37.4,3.36
488,Tarko-Sale,100,RU,1555902211,92,64.92,77.78,31.37,19.84
489,Iseyin,64,NG,1555902212,87,7.97,3.6,77.69,6.42
490,Iwanai,0,JP,1555902213,52,42.97,140.51,49.66,7.81
491,El Alto,75,BO,1555898400,70,-16.5,-68.19,46.4,4.7
492,Nalut,100,LY,1555902216,23,31.86,10.98,79.67,17.94
493,Cayenne,20,GF,1555900200,88,4.94,-52.33,77.0,6.2
494,Tual,31,ID,1555902218,77,-5.67,132.75,84.44,13.96
495,Esil,11,KZ,1555902219,46,51.96,66.41,44.37,4.18
496,Bahir Dar,52,ET,1555902220,43,11.59,37.39,64.94,3.94
497,Anandnagar,0,IN,1555900200,69,18.71,73.3,82.4,5.82
498,Vetluzhskiy,92,RU,1555902223,91,58.39,45.47,41.96,3.8
499,Requena,75,ES,1555902184,82,39.49,-1.1,55.4,5.82
500,Bontang,48,ID,1555902064,47,0.12,117.47,91.13,3.91
501,Khartoum,0,SD,1555900200,11,15.59,32.54,73.4,12.75
502,Tacuati,100,PY,1555902227,96,-23.46,-56.74,73.04,5.12
503,Port-Gentil,100,GA,1555902228,84,-0.72,8.78,82.48,11.88
504,Chifeng,68,CN,1555902061,25,42.27,118.96,70.74,20.78
505,Khasan,0,RU,1555902231,14,42.43,130.64,61.45,8.05
506,College,40,US,1555902028,27,64.86,-147.8,51.8,13.87
507,Tezu,0,IN,1555902233,28,27.93,96.16,82.31,3.83
508,Cap-Chat,100,CA,1555902176,94,49.1,-66.68,44.68,9.37
509,Harda,0,IN,1555902235,15,22.34,77.09,93.58,5.14
510,Ocampo,21,PH,1555902236,48,13.56,123.37,91.15,2.53
511,Moerai,74,PF,1555902238,65,-22.43,-151.33,75.98,16.35
512,Necochea,3,AR,1555901510,78,-38.55,-58.74,52.0,1.01
513,Lasa,0,CY,1555900200,66,34.92,32.53,57.2,5.82
514,Erdaojiang,100,CN,1555902241,34,41.78,126.03,58.41,10.4
515,Nelson Bay,100,AU,1555902172,53,-32.72,152.14,80.01,6.93
516,Portland,1,US,1555901985,62,45.52,-122.67,59.0,6.93
517,Skibbereen,75,IE,1555900200,100,51.55,-9.27,46.4,12.75
518,Mulege,100,MX,1555902246,57,26.88,-111.98,73.57,4.12
519,Tucumcari,1,US,1555902016,18,35.17,-103.73,69.8,8.05
520,Koumac,9,NC,1555902248,77,-20.56,164.28,82.33,2.55
521,Dorchester,0,GB,1555902183,81,50.71,-2.44,50.0,7.18
522,Boyuibe,99,BO,1555902251,98,-20.43,-63.28,65.7,3.53
523,Kibaya,40,RW,1555902168,93,-2.2,30.56,62.6,2.24
524,Los Andes,20,CL,1555901939,76,-32.83,-70.6,53.6,8.05
525,Hit,0,IQ,1555902263,48,33.64,42.83,54.5,14.23
526,Wadi Musa,1,JO,1555902101,66,30.32,35.48,52.0,3.24
527,Henties Bay,47,NA,1555902126,93,-22.12,14.28,55.99,5.01
528,Taperoa,100,BR,1555902267,87,-7.21,-36.83,70.29,16.08
529,Waidhofen,20,DE,1555902054,80,48.58,11.34,45.0,4.7
530,Poso,54,ID,1555901995,82,-1.4,120.75,73.82,3.49
531,Nuuk,100,GL,1555902161,80,64.17,-51.74,30.2,6.93
532,Barceloneta,40,PR,1555902030,83,18.45,-66.54,77.0,6.93
533,Ligayan,42,PH,1555902272,73,4.65,119.47,83.92,6.38
534,Ferkessedougou,47,CI,1555902130,68,9.6,-5.2,79.13,2.19
535,Mucuri,2,BR,1555902274,94,-18.08,-39.55,73.58,3.69
536,Ahtopol,0,BG,1555902004,80,42.1,27.94,44.01,8.05
537,Limbang,75,BN,1555900200,62,4.75,115.01,89.6,4.7
538,Bocas del Toro,4,PA,1555901400,63,9.33,-82.25,59.0,7.0
539,Brewster,75,US,1555902164,93,41.76,-70.08,55.0,3.36
540,Moen,98,NO,1555901400,96,69.13,18.61,39.2,29.97
541,Jiexiu,100,CN,1555902281,66,37.02,111.92,60.1,6.71
542,Nenagh,75,IE,1555902275,87,52.86,-8.2,48.2,10.29
543,Laguna,90,MX,1555897860,60,27.52,-110.01,73.4,3.36
544,Chor,0,PK,1555902285,41,25.52,69.77,86.92,11.3
545,Okakarara,62,NA,1555902286,81,-20.59,17.46,59.17,2.62
546,Yamada,75,JP,1555901993,63,36.58,137.08,69.01,8.05
547,Lashio,12,MM,1555902288,17,22.93,97.75,94.28,2.21
548,Yayva,85,RU,1555902185,52,59.33,57.26,37.99,5.06
549,Tall Kayf,90,TR,1555902000,87,37.08,41.07,44.6,6.93
550,Gimli,99,CA,1555902009,48,50.63,-96.99,54.0,7.72
551,Tateyama,75,JP,1555901993,63,36.66,137.31,69.01,8.05
